original_comment,comment,sentiment
"Wah, aga laen nih cara nya. Ga ky yg sebelum2nya, semoga jadi jalan buat kesembuhan perekonomian kita.. aamiin..",wah aga cara nya tidak belum moga jadi jalan buat sembuh ekonomi amin,Positif
"Dalam bahasa halus mindahin uang dari bank central (BI) ke perbankan nasional, itu adalah bahasa halus sekelas BLBI dan bisa juga dengan BI nyuntikkan tambahan modal untuk perbankan nasional. Berarti dengan kata lain akan ada pertambahan peredaran uang di masyarakat sebesar 200 T, semoga tidak terjadi inflasi dan akan bermanfaat bagi rakyat bukan nguap kaya kasus BLBI 😮",bahasa halus pindah uang bank sentral bi perban nasional bahasa halus kelas blbi bi suntik tambah modal perban nasional arti kata tambah edar uang salur masyarakat besar moga tidak jadi inflasi manfaat rakyat bukan uap kasus blbi,Negatif
Bismillah ekonomi rakyat meningkat,bismillah ekonomi rakyat tingkat,Positif
"Hmmm..... 1.bisa buat intervensi 2.kontrol inflasi 3.bagus buat investor Tapiiiiiii Kalo kek gini nanti liquiditas di bank umum bakal rada seret,kredit buat para umkm bakal rada angel,bunga bank bakal naek,peputaran duit rada nyusut,jangka panjangnya bisa mempengaruhi peputaran ekonomi. Kalo ibaratanya naro duit di celengan,aman tapi gak muter.. Bagus buat jangka pendek susah buat jangka panjang",hm buat intervensi kontrol inflasi bagus buat investor kalau begini likuiditas salur bank umum bakal seret kredit buat umkm bakal sulit bunga bank bakal naik putar duit nyusut jangka panjang pengaruh putar ekonomi kalau ibarat taruh duit salur celengan aman tidak putar bagus buat jangka pendek susah buat jangka panjang,Negatif
ekonomi membaik menurut rakyat bahan pokok bisa kebeli ada sisa bisa ditabung...,ekonomi baik rakyat bahan pokok kebel sisa tabung,Positif
"Bapak ini mikirnya mengampangkan. Tahu ngga pak, dengan aksi seperti itu di saat hasil panen pertanian lg saklek begini, Indonesia bakal inflasi tinggi. Kualitas kredit perbankan kita saat ini sedang turun, karna debitur/yg berhutang ke Bank lg kesulitan soal omset dan profit. Makanya saham sektor Perbankan turun belasan persen beberapa hari terakhir. Penyaluran dana besar ke perbankan bisa meningkatkan likuiditas di pasar, apabila tidak diimbangi dengan peningkatan produksi barang/jasa, dapat memicu inflasi. Inflasi yang tinggi menurunkan daya beli masyarakat (yg mana sudah terjadi saat ini) dan mengganggu stabilitas ekonomi. Sedangkan saat ini terjadi banyak gagal panen, lihat aja harga kebutuhan dapur ada yg naik gara2 ini, klo dipancing dg menyebarkan uang 200 T tapi tdk produktif, mampuslah Negara kita kena momentum bersamaan.",bapak mikirnya ampang tahu tidak pak aksi salur hasil panen ikan kaku begini indonesia bakal inflasi tinggi kualitas kredit perban sedang turun debituryg hutang bank sulit soal omset profit makanya saham sektor perban turun bas persen beberapa hari akhir salur dana besar perban tingkat likuiditas salur pasar apabila tidak imbang tingkat produksi barangjasa dapat picu inflasi inflasi tinggi turun daya beli masyarakat mana jadi ganggu stabilitas ekonomi jadi banyak gagal panen lihat harga butuh dapur naik gara kalau pancing sebar uang tidak produktif mampus negara kena momentum sama,Negatif
"Intinya jika orang ini ditunjuk Presiden yah pasti  punya kemampuan, nga mungkin tidak.. Sebernanya Sri Muliani Kurang hebat apa dan pasti tau caranya agar Perekonomian bisa bagus tapi mungkin terkedendala dihal lain yang kita nga tau.. Semoga aja menteri ini bisa jadi exsekutor terbaik deh",inti orang tunjuk presiden nya punya mampu tidak mungkin tidak benar sri mulyani kurang hebat apa tahu cara ekonomi bagus mungkin kendala hal tidak tahu moga menteri jadi eksekutor baik deh,Positif
Ini mentri Sagat cerdas sudah menguasai ekonomi,menteri sagat cerdas kuasa ekonomi,Positif
BRAVO PAK PURBAYA...HEBAT ...LANJUTKAN PAK.HATI  HATI YA PAK ...JANGAN TERJERUMUS KIRUPSI YA PAK...,bravo pak purbaya hebat lanjut pakhati hati nya pak jangan jerumus kirupsi nya pak,Positif
Kita dukung pak..yg penting bukan BLBI kan pak... Mohon di pertimbangkan inflasinya jg.,dukung pak penting bukan blbi kan pak mohon salur timbang inflasi,Positif
Pak. PURBAYA 👍👍👍👍👍👍👍 Lanjutkan indonesia lebih baik.,pak purbaya lanjut indonesia lebih baik,Positif
"Saya lht dr segi komunikasi dan aura bpk sperti nya bnyk positip ny bpk sebagai mentri keu .cerdas ,tegas ,lugas ,ok",lihat segi komunikasi aura bapak nya banyak positif nya bapak menteri keu cerdas tegas lugas,Positif
"Semoga lebih baik ya pak, slamat bekerja",moga lebih baik nya pak selamat kerja,Positif
Support you pak.Selamat bekerja pak semoga bisa mengemban pekerjaan dengan baik dan cerdas..nggak neken rakyat bawah dengan pajak..tapi ini langkah bagus...semangat pak....,support you pakselamat kerja pak moga emban kerja baik cerdas tidak neken rakyat bawah pajak langkah bagus semangat pak,Positif
"Langkah nyata disebut kan ,perbaya ayo dorong ekonomi bangsa ini",langkah nyata sebut kan purbaya ayo dorong ekonomi bangsa,Positif
Semoga bisa seperti Pak Mar'ie Muhamad.,moga pak marie muhamad,Positif
Saya setuju sistem perbankan kita harus bekerja menyalurkan kredit agar orang berani spending dan ekonomi bergerak,tuju sistem perban kerja salur kredit orang berani spending ekonomi gerak,Positif
"Bagus pak ,slamat berjuang  untuk bangsa ini",bagus pak selamat juang bangsa,Positif
Orang Cerdas!!! Semoga lancar tugas anda pak..,orang cerdas moga lancar tugas pak,Positif
Salut..ini mentri jenius nii,salut menteri jenius,Positif
Mantab Lanjut Pak Purbaya 😃👍,mantap lanjut pak purbaya,Positif
setuju pak,tuju pak,Positif
"Mantap mengungkapkan nominal itu bukan hal yg Gampang, hanya orang orang jujur dan tulus paham betul. Semoga Amanah jadi Mentri Pak😊Buat Seluruh Rakyat indonesia Bangga.",mantap ungkap nominal bukan gampang orang orang jujur tulus paham betul moga amanah jadi menteri pak buat seluruh rakyat indonesia bangga,Positif
Selamat bekerja demi ekonomi negeri  Pak,selamat kerja ekonomi negeri pak,Positif
"Kita simak bersama...semoga kalkulasinya tepat ya, Bismillah",simak sama moga kalkulasi tepat nya bismillah,Netral
Good policies spy perbankan punya intelektual yg proden dlm operasi aktive  kepada debitur jujur,good policies perban punya intelektual proden operasi aktive debitur jujur,Positif
Joss mentri baru semoga ekonomi mulai tumbuh membaik negeriku Indonesia.,jos menteri baru moga ekonomi mulai tumbuh baik negeri indonesia,Positif
harus diimbangi dgn penurunan suku bunga dong....,imbang turun suku bunga dong,Negatif
ini baru 1 trik yag beliau jalankan tentunya masih banyak lagi trik2 yg bakal dijalankan agar ekonomi tumbuh... jadi simpan dulu pertanyaan2 itu.. beri kesempatan untuk beliau agar tahapan2 untuk pemulihan ekonomi bisa dilakukan.....,baru trik beliau jalan tentu banyak trik bakal jalan ekonomi tumbuh jadi simpan dulu tanya beri sempat beliau tahap pulih ekonomi laku,Positif
"Ingat ada minusnya, kalau di pindahkan mata uang terhadap dollar jadi g stabil..",ingat minus kalau salur pindah mata uang dollar jadi stabil,Negatif
Di berikan ke bank di pinjam koruptor kemudian dana hilang yg ganti rakyat dgn dinaikkan pajak 🤣🤣🤣🤣,salur ikan bank salur pinjam koruptor kemudian dana hilang ganti rakyat naik pajak,Negatif
JENIUSSSS 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍 HRPAN EKONOMI MMBAIK,jenius hrpan ekonomi mmbaik,Positif
Mantap ini baru kebijakan menggerak ekonomi,mantap baru bijak gerak ekonomi,Positif
"inilah yang harusnya di lakukan dari dulu,, negara narik pajak tapi duit itu malah menumpuk di bank dan gak diputar didalam negeri.. ya hasilnya adalah ekonomi lesu dan ujungnya demo berjilid""... saya sering nonton kdm, dia sangat sering bilang kalo uang hasil pajak itu jangan lama"" disimpan di bank dan harus segera dibelanjakan agar ekonomi dibawah terus berputar",ini harus salur laku dulu negara tarik pajak duit malah tumpuk salur bank tidak putar dalam negeri nya hasil ekonomi lesu ujung demo jilid sering tonton kdm sangat sering bilang kalau uang hasil pajak jangan lama simpan salur bank segera belanja ekonomi bawah terus putar,Positif
bagus pak jangan lupa bagi rakyat kecil,bagus pak jangan lupa rakyat kecil,Positif
🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨 MANTAP  Purbaya bicara lugas 👍👍,mantap purbaya bicara lugas,Positif
Semoga ekonomi bangkit ❤,moga ekonomi bangkit,Positif
"Pinter banget Pak Purbaya,mengerti kebutuhan rakyat,mudah2an bpk Sehat dan Panjang umur..Amin",pintar banget pak purbaya erti butuh rakyat mogamoga bapak sehat panjang umur amin,Positif
Smngt krj kras pak mentri demi prtumbuhan ekonomi,smngt krj kras pak menteri prtumbuhan ekonomi,Positif
Biar masyarakat melakukan kredit untuk usaha😢,biar masyarakat laku kredit usaha,Positif
"Trus Danantara Gimana ?? Coba berfikir Seperti bermain Catur, sudah d pikirkan minimal 3 Langkah Kedepannya...",terus danantara bagaimana coba pikir main catur pikir minimal langkah depan,Negatif
Itu ide simple tapi ko sepertinya applicable ya dengan kondisi ekonomi sekarang.... ❤  Semoga di mudahkan Baarakallahu Fiikum,ide simple kok seperti applicable nya kondisi ekonomi sekarang moga salur mudah baarakallahu fiikum,Positif
Namun sekarang orang ingin tidak punya utang dan kesusahan mengembalikan.,sekarang orang tidak punya utang susah kembali,Negatif
mantab pak,mantap pak,Positif
Semoga mentri ni bisa merubah ekonomi masyarakat lbh baik,moga menteri rubah ekonomi masyarakat lebih baik,Positif
Kami sangat menantikan kinerja terbaik Pak Mentri...semoga ekonomi Indonesia membaik...,sangat nanti kerja baik pak menteri moga ekonomi indonesia baik,Positif
"Baru kali ini gw paham sedikit. Wlpun sdikit tentang sistem keuangan kita seperti apa di era pak Purbaya ini,",baru kali gue paham sedikit walaupun sedikit sistem uang apa salur era pak purbaya,Netral
"Semoga kinerjanya kemenkeu bisa membuat ekonomi indonesia lebih baik.,baru ini saya denger kemenkeu bicara kerja soal uang tidak seperti sebelumnya yg di bahas cuma utang dan pajak...👍👍👍",moga kerja kemenkeu buat ekonomi indonesia lebih baik baru dengar kemenkeu bicara kerja soal uang tidak belum salur bahas cuma utang pajak,Positif
"Kita harus kasih julukan kepada Menkeu baru kita, dengan julukan ""BAPAK KOBOI"" (positif) karena beliau membidik tepat sasaran pada permasalahan perekonomian yang selama ini mandek. Good job Pak Koboi, doa kami bersamamu👍",beri juluk menteri uang baru juluk bapak koboi positif beliau bidik tepat sasar masalah ekonomi lama mampet good job pak koboi doa sama,Positif
"Fokuskan penyaluran ke koperasi2 tani untuk bantu petani beli pupuk dan benih. Juga untuk investasi alat pertanian, perikanan dan peternakan. Agar meningkatkan ketahanan pangan dan menurunkan harga pangan.  Juga insentif dan bantuan pembiayaan untuk industri2 hilir yang tujuannya adalah export sehingga meningkatkan pemasukan dan devisa dalam negeri.",fokus salur koperasi tani bantu tani beli pupuk benih investasi alat ikan ikan terna tingkat tahan pangan turun harga pangan insentif bantu biaya industri hilir tuju export tingkat pasu devisa negeri,Positif
"dalam konteks teori ekonomi dasar, yang disampaikan Pak Menkeu memang benar. Smg lancar terus memperbaiki ekonomi indonesia",konteks teori ekonomi dasar sampai pak menteri uang memang benarbenar moga lancar terus baik ekonomi indonesia,Positif
"Menurut saya ini langkah bagus, guyur uang dari atas agar ekonomi berputar lagi.",langkah bagus kucur uang atas ekonomi putar,Positif
Ini menteri nampaknya mulai menunjukkan keputusan yg positif,menteri nampaknya mulai tunjuk putus positif,Positif
Yg wajib di kembalikn ke kas negara....uang & aset koruptor yg sdh disita...kejaksaan...kpolisian.........kpk & kehakiman jg bea & cukai...dimana smua itu...tdk jelas rimbanya....kmenku wajib transparan dngn jelas kpd rakyat....,wajib salur kembalikn kas negara uang aset koruptor sita jaksa kpolisian kpk hakim bea cukai semua tidak jelas rimba kmenku wajib transparan dngn jelas rakyat,Netral
Jgn senang dlu. Awas terjadi lonjakan harga. Bisa2 inflasi,jangan senang dulu awas jadi lonjak harga inflasi,Negatif
Yg korupsi yg g pinter yg g berpengalaman yg malas y zolimi rakyat minggir deh,korupsi pintar alam malas zolimi rakyat minggir deh,Netral
"Pak, semoga bapak sudah menghitung dgn cermat. Karena semakin banyak uang beredar, bisa juga menyebabkan inflasi karena menurunnya nilai beli mata uang rupiah terhadap barang dan jasa",pak moga bapak hitung cermat makin banyak uang edar sebab inflasi turun nilai beli mata uang rupiah barang jasa,Negatif
Ayo gercep pak,ayo gercep pak,Positif
"Good job, Biar uang Berputar dan tidak ngendap di bank Central.",good job biar uang putar tidak ngendap salur bank sentral,Positif
Langkah tepat pak,langkah tepat pak,Positif
"Buktikan kinerja bapak ke masyarakat supaya masyarkat sangat puas dan sangat menghargai bapak. Jangan cuma bicara tapi langsung lakukan yang terbaik buat negeri Indonesia, kan bapak tau cara memperbaiki ekonomi kan.",bukti kerja bapak masyarakat masyarakat sangat puas sangat harga bapak jangan cuma bicara langsung laku baik buat negeri indonesia kan bapak tahu cara baik ekonomi kan,Positif
Engga apa apa uang di transfer dari Bank Sentral ke market )Perbankan) tapi yg paling penting TIDAK Di KORUPSI sama para pejabatnya.  Kalo itu bisa .. pasti Sukses.,tidak apa apa uang salur transfer bank sentral market perban paling penting tidak salur korupsi saling jabat kalau sukses,Positif
Bank makin jor joran ngutangi bisa muncul edytamsil edytamsil baru,bank makin jor joran ngutangi muncul edytamsil edytamsil baru,Negatif
Asyik....bakal ada kredit lunak buat UMKM lagi ini,asyik bakal kredit lunak buat umkm,Positif
Lah selama ini kita nyimpen duit di dompet siapa? 😂😂😂,lah lama simpan duit salur dompet siapa,Netral
"Terus transparan pak mantap, dari pada yg kemarin ngumpet2 mulu",terus transparan pak mantap kemarin ngumpet mulu,Positif
Semoga di jaga Allah pak Menteri hatinya tulus utk pertumbuhan rakyat.,moga salur jaga allah pak menteri hati tulus tumbuh rakyat,Positif
Langsung saja supaya masyarakat bisa pinjam uang buat usaha di bank,langsung masyarakat pinjam uang buat usaha salur bank,Positif
HEBAT PAK PURBAYA....JALAN TERUS.....JANGAN DIPERHATIKAN KRITIK...,hebat pak purbaya jalan terus jangan perhati kritik,Positif
Koruptor : wah kesempatan emas nih😅😂,koruptor wah sempat emas,Negatif
Apakah bisa terealisasi p'menteri,realisasi pmenteri,Negatif
Kita liht dn tggu bolo..klu di liht dn dicermati mnrt ilmu ekonomi itu mmng ok.,lihat tggu bolo kalau salur lihat cermat mnrt ilmu ekonomi mmng,Positif
"Setujuuu pakk mantapp,,  biar perederan uang lancar di masyarakat",tuju pak mantap biar perederan uang lancar salur masyarakat,Positif
"Fokus perbaikan ekonomi, hentikan program2 tidak produktif seperti makan bergizi gratis",fokus baik ekonomi henti program tidak produktif makan gizi gratis,Netral
"Pemerintah harus tegas untuk para pelaku korupsi, pak prabowo pergunakan sisa umur anda untuk kebaikan bangsa Indonesia.",perintah tegas laku korupsi pak prabowo guna sisa umur baik bangsa indonesia,Netral
"Ni baru orang cerdas.uang di manfaatkan bagi yang membutuhkan .rakyat di ajarkan untuk mandiri ,bukan di ajari ngemis2 bansos .agar rakyat selalu mendukung rejim.😊",baru orang cerdasuang salur manfaat butuh rakyat salur ajar mandiri bukan salur ajar ngemis bansos rakyat selalu dukung rezim,Positif
"Dengan itikad baik, saya yakin pelan2 ekonomi Indonesia akan membaik....😊😊",itikad baik yakin pelan ekonomi indonesia baik,Positif
Ibarat kata Mobil Butuh bensin agar jalan. Negara ini pula perlu digelontorkan uang ke masyarakat agar jalan. Yg pebting caranya benar dan tidak dikorupsi.,ibarat kata mobil butuh bensin jalan negara perlu kucur uang masyarakat jalan penting cara benarbenar tidak korupsi,Positif
"Ini baru Menteri Keungan bukan Menteri perhutangan dan perpajakan, wkwkwj😂",baru menteri keungan bukan menteri hutang paja wkwkwk,Positif
"Selamat kepada pak Purbaya Mentri keuangan yg baru, semoga Indonesia tambah maju perekonomian dan sejahtera untuk rakyat",selamat pak purbaya menteri uang baru moga indonesia tambah maju ekonomi sejahtera rakyat,Positif
Mulai hari ini rakyat kritis langkah pejabat di pantau publik di pantau rakyat Indonesia negara republik wajib tranpansi di publik.,mulai hari rakyat kritis langkah jabat salur pantau publik salur pantau rakyat indonesia negara republik wajib transparansi salur publik,Netral
ini mentri peduli sama rakyat...masyarakat bisa ajukan ke bank buat modal usaha...presiden Prabowo pilih orang sudah jelas kinerjanya...Sri Mulyani tarikin pajak..tapi tidak bisa putarin perekonomian di masyarakat untuk usaha...hitung2 di kembalikan dari hasil pajak rakyat ke rakyat juga buat modal usaha...,menteri peduli saling rakyat masyarakat aju bank buat modal usaha presiden prabowo pilih orang jelas kerja sri mulyani tarik pajak tidak putar ekonomi salur masyarakat usaha hitung salur kembali hasil pajak rakyat rakyat buat modal usaha,Positif
"Pak purbaya sepertinya paham btul kondisi perekonomian masyarakat sekarang, mkanya beliau buat kebijakan sentimen positif utk masyarakat ekonomi menengah kebawah, klau seandainya terjadi inflasi seperti pak purbaya tahu cara mengatasinya, semoga sehat selalu pak",pak purbaya seperti paham betul kondisi ekonomi masyarakat sekarang makanya beliau buat bijak sentimen positif masyarakat ekonomi tengah ke bawah kalau anda jadi inflasi pak purbaya tahu cara atas moga sehat selalu pak,Positif
Yang saya alami di lapangan. Permintaan kredit Dr masyarakat (ukm)itu banyak.. hanya Dr pihak bank.. Dana yg di pinjamkan tidak sesuai yg di ajukan.. Dr phk ukm.. itu yg Sy alami sendiri,alami salur lapang minta kredit masyarakat ukm banyak pihak bank dana salur pinjam tidak sesuai salur aju pihak ukm alami sendiri,Negatif
keren pak purbaya. KERJA BEBERAPA HARI serasa KINERJA SETAHUN,keren pak purbaya kerja beberapa hari serasa kerja tahun,Positif
Wajah baru Menkeu membuat rakyat bahagia berjuta harapan semoga negri ini tidak di Bebani dengan segala bentuk pajak yang mencekik rakyat 🤲,wajah baru menteri uang buat rakyat bahagia juta harap moga negeri tidak salur beban segala bentuk pajak cekik rakyat,Positif
Awalnya sy skeptis dengan menteri ini tp sejak dia memasak di DPR sy jadi suka,awal skeptis menteri sejak masak salur dpr jadi suka,Netral
"Pak Purbaya berani dan terukur,,👍",pak purbaya berani ukur,Positif
Dulu biasanya bank himbara yg  invest ke bank sentral dapat bunga dikit direksi bank himbara gak mikir serius bangun ekonomi. Dan dulu konglomerat muter duit cari aman dibungain ke bank sentral utk invest sun. Nah sekarang kebalik. Jadi bank himbara akan berfikir kritis utk dapat return tinggi istilahnya dipaksa harus tersalurkan ke kredit sektor riil. Saya yakin akan melimpah industri melimpah perputaran uang di ekonomi riil.,dulu biasa bank himbara invest bank sentral dapat bunga sedikit direksi bank himbara tidak mikir serius bangun ekonomi dulu konglomerat putar duit cari aman dibungain bank sentral invest sun nah sekarang balik jadi bank himbara pikir kritis dapat return tinggi istilah paksa salur kredit sektor riil yakin limpah industri limpah putar uang salur ekonomi riil,Positif
"Kata anaknya Purbaya, ayahnya menggantikan agen CIA😢😂😂",kata anak purbaya ayah ganti agen cia,Netral
"Saya sangat positif melihat kinerja beliau,yg mana sangat jelas tujuannya .",sangat positif lihat kerja beliau mana sangat jelas tuju,Positif
"Skrng udah dikasih uang, kok malahan bingung, dlu kekurang uang bingung..  kebnykan kawatir aja ni ekonom, kalo kebnykan ke hati hatian aja ya sama aja kyak sri mulyani..  kita hrs keluar dari zona nyaman..  tidak ada salahnya kita mencoba sesuatu yg baru",sekarang kasih uang kok malah bingung dulu kurang uang bingung banyak khawatir ekonom kalau banyak hati hati nya saling sri mulyani keluar zona nyaman tidak salah coba baru,Positif
"Keliatan santai tp cerdas , angin segar untuk Indonesia",lihat santai cerdas angin segar indonesia,Positif
"ini ni mentri yangkita tunggu2 gebrakan""nya luarbiasa walopun ngomongnya ceplas ceplos tapi langkahnya sunggu hebat..",menteri yang kita tunggu gebrak nya luar biasa walaupun omong ceplas ceplos langkah sungguh hebat,Positif
Beda pendapat itu biasa bagai mana cara pandang dari pada Duit mati di BI malah gak guna.,beda dapat biasa bagaimana mana cara pandang duit mati salur bi malah tidak,Positif
"Itu lebih baik pak,dari pada di transfer ke rek.anggota pejabat negara yg mengharap kan fee..",lebih baik pak salur transfer rekanggota jabat negara harap kan fe,Positif
"Semoga perekonomian indonesia segera pulih banyak lowongan pekerjaan, banyak pihak yg buka usaha dan semoga dipermudah",moga ekonomi indonesia segera pulih banyak lowong kerja banyak pihak buka usaha moga mudah,Positif
Nuansa kesungguhan Pak Purbaya memberikan semangat positif..semoga dimudahkan-NYA,nuansa sungguh pak purbaya beri semangat positif moga mudah,Positif
"semoga sukses pak Purbaya... walaupun sy kurang faham soal kondisi ekonomi negara kita, tp sy percaya yakin bahwa Anda bisa membantu presiden Prabowo tetap  semangat ya ( dari rakyat wong cilik )",moga sukses pak purbaya walaupun kurang paham soal kondisi ekonomi negara percaya yakin bantu presiden prabowo tetap semangat nya rakyat orang cilik,Positif
smoga bangkit pengusaha2 menengh kbwah smoga lapangn pekerjaan tumbuh banyak,moga bangkit usaha tengah bawah moga lapang kerja tumbuh banyak,Positif
"Gelontorkan keseluruh ekonomi kerakyatan,, agar tumbuh kembali seluruh usaha  kecil menengah di masyarakat.",gelontor ke seluruh ekonomi rakyat tumbuh seluruh usaha kecil tengah salur masyarakat,Positif
Sri Mulyani - Purbaya sama2 punya kelebihan dan kekurangan. Hanya sayang diakhir masa jabatannya Sri banyak tekanan tapi dia nggak berani transparan untuk membela diri.,sri mulyani purbaya saling punya lebih kurang sayang akhir masa jabat sri banyak tekan tidak berani transparan bela diri,Netral
"Pak purbaya ini kelihatannya orangnya selengean padahal orangnya sangat cerdas di banding sri mulanya,saya yakin ekonomi Indonesia tumbuh lebih baik dari sebelumnya",pak purbaya seperti orang lenge padahal orang sangat cerdas salur banding sri mula yakin ekonomi indonesia tumbuh lebih baik belum,Positif
Saya mulai nge fans sama bapak ini 🎉,mulai nge fan saling bapak,Positif
"Kuncinya harus ada kerjasama antara Aparat Penegak Hukum, Kementerian2 lain dan Pemda dalam mempercepat  paket2 proyek kepada Pengusaha2 Swasta dan UMKM agar demand kredit produktif meningkat..",kunci kerjasama aparat tegak hukum menteri pemda cepat paket proyek usaha swasta umkm minta kredit produktif tingkat,Positif
Luar biasa ini baru menteri uang berputar dgn cepat,luar biasa baru menteri uang putar cepat,Positif
Teknik suntik tegangan agar arus searah agar relay aktif .,teknik suntik tegang arus arah relay aktif,Netral
"PERBANKKAN...HARUS CERDAS (TIDAK MONOTON) DINAMIKA KEBUTUHAN RAKYAT MENENGAH BAWAH...BANYAK PROBLEM DI KERTAS DAN SUKU BUNGA"".   KOPDES...MAPPING DAN MODEL BISNIS BERDASAR KEBUTUHAN DAERAH KABUPATEN DAN KOTA"" (TATA KELOLA SUBTANSI DI PISAHKAN...KOPDES PANGAN & PERTANIAN, KOPDES PETERNAKAN, KOPDES PERIKANAN KELAUTAN, KOPDES FARMASI, KOPDES PUPUK, KOPDES SIMPAN PINJAM(SUKU BUNGA"")  PERBANKKAN ATAU PIHAK 3 .. MINDSET NYA ...ADA 2 PILIHAN"" MENINGKATKAN DAYA BELI MASYARAKAT DAN PERKEMBANGAN EKONOMI ATAU DIAM SAJA JADI PATUNG "".",perban cerdas tidak monoton dinamika butuh rakyat tengah bawah banyak problem salur kertas suku bunga kopdes mapping model bisnis dasar butuh daerah kabupaten kota tata kelola substansi salur pisah kopdes pangan ikan kopdes terna kopdes ikan laut kopdes farmasi kopdes pupuk kopdes simpan pinjam suku bunga perban pihak mindset nya pilih tingkat daya beli masyarakat kembang ekonomi diam jadi patung,Positif
Hidup itu pilihan cuk..  kita sudah di ambang krisis..  kalau kita gagal ya hancur.. kalo berhasil ya melesat ekonomi kita..  kita ini sudah nothing to lose..  purbaya ini orang market.. psti dia adalah seorang trader juga..  orang brani mngambil resiko,hidup pilih cuk salur ambang krisis kalau gagal nya hancur kalau hasil nya lesat ekonomi nothing lose purbaya orang market orang trader orang berani ambil risiko,Positif
"Menteri yg ceplas-ceplos tapi mementingkan rakyat,klu yg onoh..........😃😃😃",menteri ceplasceplos penting rakyat kalau sono,Positif
Alhamdulillah wajahnya pak Airlangga cerah 😂😂😂 semoga kompak dengan menteri keuangan,alhamdulillah wajah pak airlangga cerah moga kompak menteri uang,Netral
Likuiditas bertetangga sama insolven...hati hati...jika sifatnya memaksa bank bekerja..ditengah kondisi yg lesu,likuiditas tetangga saling insolven hati hati sifat paksa bank kerja tengah kondisi lesu,Negatif
Mazhab ITB masuk. Mazhab UI istirahat dulu. Kita lihat saja nanti mana yang berhasil,mahzab itb masuk mahzab ui istirahat dulu lihat mana hasil,Netral
Saya masyarakat kecil dari desa tapi saya bisa mengerti dengan tujuan pak purbaya dengan penjelasan yang jelas dan mudah di mengerti,masyarakat kecil desa erti tuju pak purbaya jelas jelas moga salur erti,Positif
1. MBG kecilin (kasi ke daerah tertinggal dan cukup anak dibawah 12 th)  2. Bansos perkecil ganti dgn kredit rakyat 3. Slik BI di hapus sebagian ringankan 4. Belanja pemerintah cepat kucurkan dan kasi proyek ke swasta nasional jgn bumn lg 5. Bank pemerintah di push press utk kucurkan kan kredit konsumsi dan kredit rakyat. Bukan kredit proyek bumn lg 6. Impor cina di proteksi jgn terlalu di mudahkan agar lokal tumbuh,mbak kecilin beri daerah tinggal cukup anak bawah tahu bansos kecil ganti kredit rakyat slick bi salur hapus bagi ringan belanja perintah cepat kucur beri proyek swasta nasional jangan bumn bank perintah salur paksa presiden kucur kan kredit konsumsi kredit rakyat bukan kredit proyek bumn impor china salur proteksi jangan terlalu salur mudah lokal tumbuh,Positif
Alhamdulillah menteri sudah diganti yg lebih kompeten,alhamdulillah menteri ganti lebih kompeten,Positif
"Lanjutkan pak menteri utk mendorong daya beli masyarakat,uang harus banyak beredar dimasyarakat klo disimpan di BI lamban pertumbuhannya.",lanjut pak menteri dorong daya beli masyarakat uang banyak edar di masyarakat kalau simpan salur bi lamban tumbuh,Positif
"Dana alokasi daerah agar ditambah, daerah2 punya potensi kuat menggerakkan ekonomi nasional..",dana alokasi daerah tambah daerah punya potensi kuat gerak ekonomi nasional,Positif
SMG pak Purbaya sehat terus & pro rakyat. ❤❤,moga pak purbaya sehat terus pro rakyat,Positif
Enak ekonomi sedang sulit di guyur uang triliunan,enak ekonomi sedang sulit salur kucur uang triliun,Positif
hahahahahahah menteri keuangan gw ROCK and ROLL 😂😂😂😂😂... gitu donk kd kreatif,hahahahahahah menteri uang gue rock and rol dong kaidah kreatif,Positif
"Produktivitas akan bertumbuh disemua usaha kerakyatan,, aksi nyata praktek baik jauh lebih bermanfaat daripada wacana dan teori teori dan teori.",produktivitas tumbuh di semua usaha rakyat aksi nyata praktek baik jauh lebih manfaat wacana teori teori teori,Positif
Anggaran belanja rakyat tingkatkan supaya ekonomi berjalan di daerah uang jangan berputar di atas harus lebih utamakan anggaran dana belanja di daerah artinya di rakyat jelata .* Hidup Purbaya untuk menuju Indonesia maju ❤❤❤❤,anggar belanja rakyat tingkat ekonomi jalan salur daerah uang jangan putar salur atas lebih utama anggar dana belanja salur daerah arti salur rakyat jelata hidup purbaya tuju indonesia maju,Positif
Bg Bima analis ekonomi yg gw suka penjelasannya mudah dan jelas utk kalangan bwah ky gw😂 Ayo bg bim ksh trus msukannya utk pemerintah biar rakyat sejahtera.,bang bima analis ekonomi gue suka jelas moga jelas kalang bawah gue ayo bang bima beri terus masuk perintah biar rakyat sejahtera,Netral
Cukupkan sisa sisa cinta kita jgn takut tegelam senja krn esok mentri,cukup sisa sisa cinta jangan takut tegelam senja esok menteri,Netral
"SM isi kepalanya pajaaaaaak terus, mantap pak Purbaya.",saling isi kepala pajak terus mantap pak purbaya,Positif
MAKMURLAH INDONESIAKU ❤❤❤❤❤,makmur indonesia,Positif
